gen_sample,nn_train_sample,nn_train_K,combined_score,heatmap_mse,impedance_mse,occupancy_hamming,occupancy_exact,occ_pattern_in_train,combined_percentile_vs_train_nn
data_sample_341,sample_18958,41,3.7409582138061523,3.5471315383911133,0.0015190091216936707,10,False,False,1.0
data_sample_342,sample_29876,41,4.042089462280273,3.845278739929199,0.004503126256167889,10,False,False,1.0
data_sample_343,sample_10222,41,4.000124931335449,3.805049419403076,0.002767851809039712,10,False,False,1.0
data_sample_344,sample_17650,41,3.9218060970306396,3.7547855377197266,0.013174345716834068,8,False,False,1.0
data_sample_345,sample_7025,41,3.9182186126708984,3.761380672454834,0.002991779474541545,8,False,False,1.0
data_sample_346,sample_7456,41,3.7141988277435303,3.5529420375823975,0.007410487160086632,8,False,False,1.0
data_sample_347,sample_21629,41,3.790529489517212,3.630051612854004,0.00663169426843524,8,False,False,1.0
data_sample_348,sample_24043,41,3.864315986633301,3.668362855911255,0.0036453313659876585,10,False,False,1.0
data_sample_349,sample_21629,41,3.9470341205596924,3.7871265411376953,0.006061372347176075,8,False,False,1.0
data_sample_350,sample_8183,41,3.8200783729553223,3.622814655303955,0.004956001881510019,10,False,False,1.0
data_sample_351,sample_8263,41,3.7556676864624023,3.560777187347412,0.002582764718681574,10,False,False,1.0
data_sample_352,sample_14279,41,3.7365453243255615,3.580336570739746,0.00236253603361547,8,False,False,1.0
data_sample_353,sample_18135,41,3.7297353744506836,3.532404899597168,0.005022717639803886,10,False,False,1.0
data_sample_354,sample_29601,41,3.984468936920166,3.7847533226013184,0.007407844997942448,10,False,False,1.0
data_sample_355,sample_21657,41,4.056415557861328,3.900390863418579,0.002178770024329424,8,False,False,1.0
data_sample_356,sample_10934,41,3.77012038230896,3.574197769165039,0.0036148137878626585,10,False,False,1.0
data_sample_357,sample_3298,41,3.8088696002960205,3.6509814262390137,0.004041927866637707,8,False,False,1.0
data_sample_358,sample_10222,41,3.842487335205078,3.6789727210998535,0.009668391197919846,8,False,False,1.0
data_sample_359,sample_17157,41,3.8211493492126465,3.698544502258301,0.007220247760415077,6,False,False,1.0
data_sample_360,sample_19777,41,3.9080464839935303,3.710747241973877,0.004991539753973484,10,False,False,1.0
data_sample_361,sample_15910,41,3.742992639541626,3.5851962566375732,0.003950110636651516,8,False,False,1.0
data_sample_362,sample_24391,41,3.786174774169922,3.5919995307922363,0.001867517246864736,10,False,False,1.0
data_sample_363,sample_17014,41,3.804978132247925,3.6481311321258545,0.003000763012096286,8,False,False,1.0
data_sample_364,sample_1403,41,3.7959792613983154,3.599970817565918,0.0037008177023380995,10,False,False,1.0
data_sample_365,sample_16693,41,3.8252391815185547,3.663010597229004,0.00838229339569807,8,False,False,1.0
data_sample_366,sample_29372,41,3.64603590965271,3.4497227668762207,0.004005465190857649,10,False,False,1.0
data_sample_367,sample_17157,41,3.635723352432251,3.5171141624450684,0.003224558662623167,6,False,False,1.0
data_sample_368,sample_3645,41,3.9501571655273438,3.7533926963806152,0.004456755239516497,10,False,False,1.0
data_sample_369,sample_17039,41,4.036766529083252,3.842698097229004,0.001760771730914712,10,False,False,1.0
data_sample_370,sample_15498,41,3.8219594955444336,3.5880930423736572,0.0030973360408097506,12,False,False,1.0
data_sample_371,sample_16362,41,3.847451686859131,3.6866683959960938,0.006937002297490835,8,False,False,1.0
data_sample_372,sample_21657,41,3.8977973461151123,3.7026736736297607,0.002815940184518695,10,False,False,1.0
data_sample_373,sample_23204,41,3.657205820083618,3.500068187713623,0.0032914066687226295,8,False,False,1.0
data_sample_374,sample_3355,41,4.065454006195068,3.868849277496338,0.0042971656657755375,10,False,False,1.0
data_sample_375,sample_13665,41,3.646392822265625,3.4887545108795166,0.0037919741589576006,8,False,False,1.0
data_sample_376,sample_28530,41,3.957210063934326,3.7576942443847656,0.007208225317299366,10,False,False,1.0
data_sample_377,sample_26314,41,3.690751791000366,3.532254219055176,0.004651222378015518,8,False,False,1.0
data_sample_378,sample_17039,41,3.9035351276397705,3.709547996520996,0.0016795237315818667,10,False,False,1.0
data_sample_379,sample_9729,41,3.7131359577178955,3.553757667541504,0.005532136652618647,8,False,False,1.0
data_sample_380,sample_11945,41,3.856034517288208,3.7348740100860596,0.005775880999863148,6,False,False,1.0
data_sample_381,sample_3355,41,4.007162094116211,3.811950206756592,0.0029044542461633682,10,False,False,1.0
data_sample_382,sample_2831,41,3.904970645904541,3.708456039428711,0.004206801764667034,10,False,False,1.0
data_sample_383,sample_12907,41,3.758915901184082,3.60347843170166,0.0015911415684968233,8,False,False,1.0
data_sample_384,sample_7402,41,4.100052356719971,3.9020628929138184,0.005681686103343964,10,False,False,1.0
data_sample_385,sample_13471,41,4.019799709320068,3.8261876106262207,0.0013045934028923512,10,False,False,1.0
data_sample_386,sample_16843,41,3.647101402282715,3.4903931617736816,0.002862046705558896,8,False,False,1.0
data_sample_387,sample_13317,41,3.977108955383301,3.7821903228759766,0.002610904397442937,10,False,False,1.0
data_sample_388,sample_23457,41,3.742100715637207,3.5770223140716553,0.011232186108827591,8,False,False,1.0
data_sample_389,sample_17669,41,3.6735081672668457,3.512661933898926,0.0069998870603740215,8,False,False,1.0
data_sample_390,sample_20066,41,3.9872524738311768,3.794304370880127,0.0006404728046618402,10,False,False,1.0
data_sample_391,sample_16490,41,3.8035919666290283,3.6035943031311035,0.007689901161938906,10,False,False,1.0
data_sample_392,sample_27891,41,3.9197068214416504,3.7637991905212402,0.0020614557433873415,8,False,False,1.0
data_sample_393,sample_12728,41,3.9622135162353516,3.7687621116638184,0.0011436825152486563,10,False,False,1.0
data_sample_394,sample_646,41,3.832723379135132,3.67116117477417,0.007716059219092131,8,False,False,1.0
data_sample_395,sample_11273,41,3.6348037719726562,3.4787211418151855,0.002236370462924242,8,False,False,1.0
data_sample_396,sample_25472,41,3.734375476837158,3.579179286956787,0.0013500394998118281,8,False,False,1.0
