epoch,beta,hm_mu_mean,hm_sigma_mean,occ_mu_mean,occ_sigma_mean,imp_mu_mean,imp_sigma_mean,fused_mu_mean,fused_mu_std,fused_sigma_mean,fused_mu_min,fused_mu_max,kl_gaussian,val_recon,val_total
325,0.030000,0.0070,0.6082,0.1907,0.4932,-0.4512,0.5491,-0.0670,1.0575,1.1913,-2.1083,3.4133,2.4278,2.9962,3.5215
330,0.030000,0.0098,0.5996,0.1961,0.4953,-0.4444,0.5448,-0.0626,1.0572,1.1942,-2.0790,3.5416,2.4334,3.0192,3.5440
335,0.030000,-0.0005,0.6023,0.1921,0.4986,-0.4477,0.5442,-0.0666,1.0452,1.1919,-2.0823,3.4558,2.4138,2.9585,3.4714
340,0.030000,0.0129,0.6019,0.2012,0.4954,-0.4569,0.5419,-0.0578,1.0383,1.1948,-2.1077,3.3411,2.4132,3.0282,3.5459
345,0.030000,-0.0003,0.5981,0.1974,0.4966,-0.4667,0.5401,-0.0655,1.0298,1.2039,-2.1551,3.1254,2.4218,2.9872,3.5055
350,0.030000,-0.0197,0.6052,0.1942,0.4920,-0.4753,0.5467,-0.0654,1.0374,1.1957,-2.2579,2.8136,2.4189,2.9404,3.4631
355,0.030000,0.0086,0.5893,0.1982,0.4902,-0.4923,0.5505,-0.0529,1.0426,1.2191,-2.3601,2.4944,2.4650,2.9001,3.4380
360,0.030000,-0.0085,0.6034,0.1906,0.4902,-0.4916,0.5578,-0.0602,1.0546,1.1971,-2.3689,2.5469,2.4378,2.9614,3.4863
365,0.030000,0.0025,0.5965,0.1902,0.4888,-0.5218,0.5600,-0.0598,1.0814,1.1952,-2.4831,2.6934,2.4633,2.8803,3.4148
370,0.030000,0.0057,0.5963,0.1886,0.4876,-0.5263,0.5641,-0.0549,1.1152,1.1938,-2.7633,2.7650,2.4978,2.9165,3.4563
375,0.030000,0.0166,0.5898,0.1912,0.4865,-0.5439,0.5683,-0.0513,1.1233,1.1777,-2.9381,2.7827,2.4803,2.9012,3.4432
380,0.030000,0.0237,0.5987,0.2001,0.4899,-0.5408,0.5710,-0.0428,1.1140,1.1821,-2.8771,2.7847,2.4703,2.9156,3.4449
385,0.030000,0.0362,0.5930,0.2128,0.4903,-0.5285,0.5669,-0.0350,1.1030,1.1987,-2.6563,2.9156,2.4837,2.8606,3.3940
390,0.030000,0.0727,0.5960,0.2287,0.4884,-0.5222,0.5665,-0.0140,1.0803,1.2065,-2.3670,2.8451,2.4688,2.8534,3.3879
395,0.030000,0.0921,0.6007,0.2491,0.4905,-0.5073,0.5634,0.0048,1.0541,1.2210,-2.0887,2.7921,2.4601,2.8113,3.3394
400,0.030000,0.1229,0.5992,0.2633,0.4875,-0.5029,0.5656,0.0217,1.0381,1.2262,-2.0847,2.6432,2.4525,2.8459,3.3793
405,0.030000,0.1235,0.5944,0.2770,0.4912,-0.4758,0.5674,0.0372,1.0403,1.2054,-2.0207,2.7171,2.4802,2.7807,3.3143
410,0.030000,0.1353,0.5933,0.2831,0.4870,-0.4686,0.5726,0.0512,1.0371,1.2110,-1.9266,2.7822,2.4886,2.7823,3.3206
415,0.030000,0.1395,0.5942,0.2981,0.4855,-0.4557,0.5722,0.0686,1.0317,1.2188,-1.8683,3.1018,2.4960,2.7715,3.3107
420,0.030000,0.1708,0.5878,0.3088,0.4858,-0.4495,0.5726,0.0863,1.0245,1.2253,-1.8461,3.3470,2.5000,2.7631,3.3026
425,0.030000,0.1852,0.5898,0.3215,0.4858,-0.4411,0.5691,0.0996,1.0166,1.2359,-1.7928,3.5498,2.5101,2.7526,3.2923
