candidate_id,mhz,k,badness,quality_score,uncertainty,p99_var,peak_loc_spread_px,pred_p99_mean,selected_reason
3041,250.0,6,90.82911290821563,-90.82911290821563,90.82911290821563,53.38545152504187,37.44366138317376,8.183137575785318,worst_uncertainty_stratified_mhz
2749,200.0,6,83.23775936809915,-83.23775936809915,83.23775936809915,53.53927455826416,29.698484809834994,9.0803062915802,worst_uncertainty_stratified_mhz
2747,200.0,6,71.88265809399567,-71.88265809399567,71.88265809399567,30.297070312756944,41.58558778123872,8.533986806869507,worst_uncertainty_stratified_mhz
2771,200.0,6,71.2126009551456,-71.2126009551456,71.2126009551456,28.707372518582122,42.50522843656348,8.60975706577301,worst_uncertainty_stratified_mhz
2576,250.0,6,68.17265522076397,-68.17265522076397,68.17265522076397,25.322788113489167,42.8498671072748,7.869771679242452,worst_uncertainty_stratified_mhz
2970,250.0,6,66.99373165966131,-66.99373165966131,66.99373165966131,25.49239299316632,41.50133866649498,9.525769909222921,worst_uncertainty_stratified_mhz
2591,250.0,6,64.76719160637856,-64.76719160637856,64.76719160637856,27.23017284119454,37.53701876518402,7.85560957590739,worst_uncertainty_stratified_mhz
2857,250.0,6,64.35940677366453,-64.35940677366453,64.35940677366453,26.73110773040602,37.62829904325851,7.537584106127421,worst_uncertainty_stratified_mhz
3080,290.0,6,64.3361042692379,-64.3361042692379,64.3361042692379,26.70780522597939,37.62829904325851,6.74445366859436,worst_uncertainty_stratified_mhz
2955,250.0,6,64.21091802385436,-64.21091802385436,64.21091802385436,31.678028682621715,32.532889341232654,8.851066390673319,worst_uncertainty_stratified_mhz
2436,140.0,6,63.21265867880841,-63.21265867880841,63.21265867880841,25.5843596355499,37.62829904325851,7.166258653004964,worst_uncertainty_stratified_mhz
3197,510.0,6,61.59355168922389,-61.59355168922389,61.59355168922389,24.93673483038818,36.65681685883571,17.235151767730713,worst_uncertainty_stratified_mhz
2886,200.0,6,61.516380878885016,-61.516380878885016,61.516380878885016,22.4505532428437,39.06582763604131,6.909287691116333,worst_uncertainty_stratified_mhz
2775,510.0,6,60.67424005924374,-60.67424005924374,60.67424005924374,22.998356231226882,37.67588382801686,16.19291639328003,worst_uncertainty_stratified_mhz
2810,575.0,6,60.337167188752005,-60.337167188752005,60.337167188752005,26.282472619247756,34.05469456950425,17.198608875274658,worst_uncertainty_stratified_mhz
2922,200.0,6,60.22680669084794,-60.22680669084794,60.22680669084794,22.73717849554274,37.489628195305194,5.994876702626546,worst_uncertainty_stratified_mhz
2850,200.0,6,60.0067522121742,-60.0067522121742,60.0067522121742,27.11636185605684,32.89039035611736,6.929364641507466,worst_uncertainty_stratified_mhz
2725,510.0,6,60.00647814750684,-60.00647814750684,60.00647814750684,27.592060916212304,32.414417231294536,16.839113076527912,worst_uncertainty_stratified_mhz
2875,90.0,6,59.5617818102624,-59.5617818102624,59.5617818102624,16.591184627744422,42.97059718251798,7.249397277832031,worst_uncertainty_stratified_mhz
3046,280.0,6,59.53413335176169,-59.53413335176169,59.53413335176169,16.56353616924371,42.97059718251798,10.033078034718832,worst_uncertainty_stratified_mhz
2940,200.0,6,59.30853263024257,-59.30853263024257,59.30853263024257,16.337935447724586,42.97059718251798,8.124790072441101,worst_uncertainty_stratified_mhz
2491,240.0,6,58.768018854383854,-58.768018854383854,58.768018854383854,21.139719811125346,37.62829904325851,6.499521295229594,worst_uncertainty_stratified_mhz
2939,250.0,6,58.703367818550525,-58.703367818550525,58.703367818550525,17.11778003731181,41.585587781238715,5.86148985226949,worst_uncertainty_stratified_mhz
