candidate_id,mhz,k,badness,quality_score,uncertainty,heatmap_mc_mse,p99_var,peak_loc_spread_px,pred_p99_mean,selected_reason
1576,265.0,3,0.4278752025055979,-0.4278752025055979,0.4278752025055979,0.4278752025055979,0.29952131876889454,37.489628195305194,8.841832240422567,worst_uncertainty_stratified_mhz
1385,265.0,3,0.41067999587552606,-0.41067999587552606,0.41067999587552606,0.41067999587552606,0.3221709154594363,23.10904103977008,10.074232419331869,worst_uncertainty_stratified_mhz
986,265.0,3,0.3881087923941865,-0.3881087923941865,0.3881087923941865,0.3881087923941865,0.2524024049997832,0.0,9.017304102579752,worst_uncertainty_stratified_mhz
111,265.0,3,0.3849346981646164,-0.3849346981646164,0.3849346981646164,0.3849346981646164,0.20340282944673363,23.47871376374779,10.210952123006185,worst_uncertainty_stratified_mhz
1199,270.0,3,0.10615626734778336,-0.10615626734778336,0.10615626734778336,0.10615626734778336,0.09732200529670365,29.698484809834994,3.6675750017166138,worst_uncertainty_stratified_mhz
307,270.0,3,0.09686120171185661,-0.09686120171185661,0.09686120171185661,0.09686120171185661,0.177546044735482,0.0,3.5895893971125283,worst_uncertainty_stratified_mhz
605,270.0,3,0.09173575045915426,-0.09173575045915426,0.09173575045915426,0.09173575045915426,0.25988302984472494,32.941446369109066,3.842197060585022,worst_uncertainty_stratified_mhz
666,270.0,3,0.0788930551139799,-0.0788930551139799,0.0788930551139799,0.0788930551139799,0.22981146320009635,0.0,4.312632401784261,worst_uncertainty_stratified_mhz
739,270.0,3,0.07501572138268292,-0.07501572138268292,0.07501572138268292,0.07501572138268292,0.1217972287363867,29.227080289043965,3.559299906094869,worst_uncertainty_stratified_mhz
1182,270.0,3,0.07403405579185059,-0.07403405579185059,0.07403405579185059,0.07403405579185059,0.059982632380423534,0.0,4.7594045003255205,worst_uncertainty_stratified_mhz
1080,270.0,3,0.0734483069246946,-0.0734483069246946,0.0734483069246946,0.0734483069246946,0.25951843520624607,0.372677996249965,4.370202541351318,worst_uncertainty_stratified_mhz
939,280.0,3,0.07898705701245173,-0.07898705701245173,0.07898705701245173,0.07898705701245173,0.19377685801017228,42.930175867331364,2.8792736530303955,worst_uncertainty_stratified_mhz
1049,280.0,3,0.07658301615903658,-0.07658301615903658,0.07658301615903658,0.07658301615903658,0.28821250755344213,32.941446369109066,3.162933071454366,worst_uncertainty_stratified_mhz
1246,280.0,3,0.06870225338197185,-0.06870225338197185,0.06870225338197185,0.06870225338197185,0.12256313369888815,41.667999978667346,4.2967045704523725,worst_uncertainty_stratified_mhz
576,280.0,3,0.06800672913220722,-0.06800672913220722,0.06800672913220722,0.06800672913220722,0.5855840879411368,23.47871376374779,3.7774900992711387,worst_uncertainty_stratified_mhz
1324,280.0,3,0.0651875166574868,-0.0651875166574868,0.0651875166574868,0.0651875166574868,0.38087799064831374,32.941446369109066,4.257545193036397,worst_uncertainty_stratified_mhz
284,280.0,3,0.06395983982865443,-0.06395983982865443,0.06395983982865443,0.06395983982865443,0.20225901410781766,23.47871376374779,3.5524965127309165,worst_uncertainty_stratified_mhz
919,280.0,3,0.059960458597565186,-0.059960458597565186,0.059960458597565186,0.059960458597565186,0.014786521485000828,0.0,4.313286383946736,worst_uncertainty_stratified_mhz
