K,n_train,n_gen,baseline_combined_median,combined_p10,combined_median,combined_p90,median_ratio_gen_over_base,hm_median,imp_median,ham_median,occ_exact,occ_exact_rate,nn_mode_frac,nn_mode_sample,gen_nn_percentile_p10,gen_nn_percentile_median,gen_nn_percentile_p90,mem_suspect_rate_p01,mem_suspect_rate_p05,mem_suspect_rate_p10,train_to_gen_combined_median,train_to_gen_cov_at_base_p90,train_occ_unique,gen_occ_unique,gen_occ_new_unique,gen_occ_new_rate,gen_occ_in_train_unique,train_occ_covered_rate,max_possible_train_coverage_rate,gen_occ_repeat_rate,gen_occ_mode_frac,occ_jsd,train_occ_entropy,gen_occ_entropy,combo_space,combo_space_log10,train_combo_space_rate,gen_combo_space_rate,gen_in_train_combo_space_rate,gen_occ_in_train_samples,gen_occ_in_train_sample_rate,expected_in_train_samples_uniform,expected_in_train_sample_rate_uniform,in_train_sample_rate_over_uniform
21,623,520,0.33361653983592987,4.007776117324829,4.18796968460083,4.342953109741211,12.553243573176685,3.9046761989593506,0.010718539822846651,14.0,0,0.0,0.011538461538461539,sample_13548,1.0,1.0,1.0,0.0,0.0,0.0,3.8073723316192627,0.0,623,520,520,1.0,0,0.0,0.8346709470304976,0.0,0.0019230769230769232,0.9999999999999999,9.283088353024002,9.022367813028453,191991813933920,14.283282711833145,3.2449300167267806e-12,2.7084488101090304e-12,0.0,0,0.0,1.687363608697926e-09,3.2449300167267806e-12,0.0
22,580,520,0.3385944068431854,4.00708327293396,4.183603286743164,4.350462102890015,12.355795613247484,3.8923842906951904,0.009331310633569956,14.0,0,0.0,0.011538461538461539,sample_9576,1.0,1.0,1.0,0.0,0.0,0.0,3.9068254232406616,0.0,580,520,520,1.0,0,0.0,0.896551724137931,0.0,0.0019230769230769232,1.0,9.179909090014936,9.022367813028453,270533919634160,14.432221724845212,2.143908611475883e-12,1.9221249620128604e-12,0.0,0,0.0,1.114832477967459e-09,2.143908611475883e-12,0.0
23,611,520,0.33490438759326935,4.037337970733643,4.2022833824157715,4.378179311752319,12.54771074399691,3.9158636331558228,0.00921465689316392,14.0,0,0.0,0.011538461538461539,sample_28913,1.0,1.0,1.0,0.0,0.0,0.0,3.78157901763916,0.0,611,520,520,1.0,0,0.0,0.851063829787234,0.0,0.0019230769230769232,0.9999999999999999,9.25502856981873,9.022367813028453,352870329957600,14.547615143547281,1.7315142366132517e-12,1.4736291375431929e-12,0.0,0,0.0,9.003874030388909e-10,1.7315142366132517e-12,0.0
24,583,520,0.33808577060699463,3.976321887969971,4.14942479133606,4.317598533630371,12.273290247874787,3.8564577102661133,0.009415796026587486,16.0,0,0.0,0.013461538461538462,sample_104,1.0,1.0,1.0,0.0,0.0,0.0,3.7672016620635986,0.0,583,520,520,1.0,0,0.0,0.8919382504288165,0.0,0.0019230769230769232,1.0,9.1873520732005,9.022367813028453,426384982032100,14.62980189973463,1.3673089451262835e-12,1.219555148311608e-12,0.0,0,0.0,7.110006514656674e-10,1.3673089451262835e-12,0.0
25,599,520,0.3378658890724182,4.034696817398071,4.189656496047974,4.3549031734466555,12.400353606427437,3.8975415229797363,0.009146421682089567,14.0,0,0.0,0.011538461538461539,sample_28393,1.0,1.0,1.0,0.0,0.0,0.0,3.992779016494751,0.0,599,520,520,1.0,0,0.0,0.8681135225375626,0.0,0.0019230769230769232,1.0,9.226412192788786,9.022367813028453,477551179875952,14.679019922404812,1.2543158204647204e-12,1.0888885252782214e-12,0.0,0,0.0,6.522442266416546e-10,1.2543158204647204e-12,0.0
26,631,520,0.3356754928827286,4.00076642036438,4.169158220291138,4.355530214309693,12.42020436013085,3.8741400241851807,0.008972762152552605,16.0,0,0.0,0.01730769230769231,sample_27764,1.0,1.0,1.0,0.0,0.0,0.0,3.9560775756835938,0.0,631,520,520,1.0,0,0.0,0.8240887480190174,0.0,0.0019230769230769232,1.0,9.301496194982551,9.022367813028453,495918532948104,14.695410338592982,1.2723864063899217e-12,1.0485593206382873e-12,0.0,0,0.0,6.616409313227593e-10,1.2723864063899217e-12,0.0
27,630,520,0.3330969214439392,3.955677032470703,4.137789011001587,4.302971267700196,12.422177284211209,3.847535014152527,0.008391078561544418,14.0,0,0.0,0.011538461538461539,sample_22983,1.0,1.0,1.0,0.0,0.0,0.0,3.8100205659866333,0.0,630,520,520,1.0,0,0.0,0.8253968253968254,0.0,0.0019230769230769232,1.0,9.29920801838728,9.022367813028453,477551179875952,14.679019922404812,1.3192303287024604e-12,1.0888885252782214e-12,0.0,0,0.0,6.859997709252794e-10,1.3192303287024604e-12,0.0
28,584,520,0.328336238861084,3.846209454536438,4.036874055862427,4.203492641448975,12.294939083986982,3.746682047843933,0.008568107150495052,14.0,0,0.0,0.01730769230769231,sample_10192,1.0,1.0,1.0,0.0,0.0,0.0,3.5014699697494507,0.0,584,520,520,1.0,0,0.0,0.8904109589041096,0.0,0.0019230769230769232,1.0,9.189824558880016,9.022367813028453,426384982032100,14.62980189973463,1.3696542434884212e-12,1.219555148311608e-12,0.0,0,0.0,7.12220206613979e-10,1.3696542434884212e-12,0.0
29,630,520,0.3151146173477173,3.9373765707015993,4.094239711761475,4.248715734481812,12.992858745247077,3.8033517599105835,0.007723919814452529,14.0,0,0.0,0.01730769230769231,sample_18241,1.0,1.0,1.0,0.0,0.0,0.0,3.8802084922790527,0.0,630,520,520,1.0,0,0.0,0.8253968253968254,0.0,0.0019230769230769232,1.0,9.29920801838728,9.022367813028453,352870329957600,14.547615143547281,1.7853583781773298e-12,1.4736291375431929e-12,0.0,0,0.0,9.283863566522115e-10,1.7853583781773298e-12,0.0
30,613,520,0.3226315975189209,3.9480878353118896,4.134345769882202,4.312279319763183,12.814447815018308,3.858668327331543,0.007919509429484606,14.0,0,0.0,0.011538461538461539,sample_22146,1.0,1.0,1.0,0.0,0.0,0.0,3.603440523147583,0.0,613,520,520,1.0,0,0.0,0.8482871125611745,0.0,0.0019230769230769232,1.0,9.259743263690785,9.022367813028453,270533919634160,14.432221724845212,2.265889618680545e-12,1.9221249620128604e-12,0.0,0,0.0,1.1782626017138833e-09,2.265889618680545e-12,0.0
