K,n_gen,n_train,baseline_combined_median,gen_to_train_combined_median,median_ratio_gen_over_base,train_to_gen_combined_median,train_to_gen_cov_at_base_p90,mem_suspect_rate_p01,mem_suspect_rate_p05,mem_suspect_rate_p10,occ_exact,occ_ham_median,hm_mse_median,imp_mse_median,train_occ_unique,gen_occ_unique,gen_occ_new_unique,gen_occ_new_rate,gen_occ_mode_frac,occ_jsd
35,520,585,0.2828652709722519,3.9739633798599243,14.048961776752567,3.7371063232421875,0.0,0.0,0.0,0.0,0,12.0,3.728381872177124,0.005848872009664774,585,520,520,1.0,0.0019230769230769232,1.0000000000000002
36,520,615,0.2637319713830948,4.036102771759033,15.303805414991666,3.620903968811035,0.0,0.0,0.0,0.0,0,12.0,3.7999191284179688,0.005983294919133186,615,520,520,1.0,0.0019230769230769232,0.9999999999999998
37,520,609,0.24983219057321548,3.934125542640686,15.747072199199872,3.742466688156128,0.0,0.0,0.0,0.0,0,12.0,3.70306396484375,0.005676863947883248,609,520,520,1.0,0.0019230769230769232,1.0
38,520,589,0.24426737427711487,3.933274269104004,16.10233163861584,3.5680270195007324,0.0,0.0,0.0,0.0,0,12.0,3.714024066925049,0.005404650000855327,589,520,520,1.0,0.0019230769230769232,1.0
39,520,622,0.22364264726638794,3.9545315504074097,17.682367825386365,3.787052631378174,0.0,0.0,0.0,0.0,0,10.0,3.7437586784362793,0.005090886959806085,622,520,520,1.0,0.0019230769230769232,1.0
40,520,598,0.2069246768951416,3.8879809379577637,18.789353673501132,3.194744110107422,0.0,0.0,0.0,0.0,0,10.0,3.6946194171905518,0.004513695137575269,598,520,520,1.0,0.0019230769230769232,1.0
41,520,594,0.20060579478740692,3.843088984489441,19.15741760382433,3.665308117866516,0.0,0.0,0.0,0.0,0,10.0,3.6633362770080566,0.004051439696922898,594,520,520,1.0,0.0019230769230769232,0.9999999999999999
42,520,632,0.17443004250526428,3.844409227371216,22.039834263384943,3.703589081764221,0.0,0.0,0.0,0.0,0,8.0,3.6756069660186768,0.00392500963062048,632,520,520,1.0,0.0019230769230769232,1.0
43,520,628,0.16210313141345978,3.805991291999817,23.478826465679226,3.5907925367355347,0.0,0.0,0.0,0.0,0,8.0,3.6584938764572144,0.003332360996864736,628,520,520,1.0,0.0019230769230769232,1.0
44,520,612,0.1453896462917328,3.7572935819625854,25.84292401690941,3.6041940450668335,0.0,0.0,0.0,0.0,0,6.0,3.6244287490844727,0.003112132428213954,612,520,520,1.0,0.0019230769230769232,0.9999999999999999
45,520,609,0.12262678891420364,3.7002878189086914,30.175199494929394,3.541273593902588,0.0,0.0,0.0,0.0,0,6.0,3.5849058628082275,0.002777760149911046,609,520,520,1.0,0.0019230769230769232,1.0
46,520,618,0.1176888644695282,3.702844262123108,31.46299591565727,3.3244214057922363,0.0,0.0,0.0,0.0,0,6.0,3.6064794063568115,0.0026027134153991938,618,519,519,1.0,0.0038461538461538464,1.0
47,520,606,0.08091393858194351,3.6256372928619385,44.80856273224381,3.487442970275879,0.0,0.0,0.0,0.0,1,4.0,3.5474345684051514,0.0020909825107082725,606,520,519,0.9980769230769231,0.0019230769230769232,0.9982209042659257
48,520,586,0.07779647409915924,3.6038975715637207,46.32469033198342,3.4805859327316284,0.0,0.0,0.0,0.0,1,4.0,3.5384939908981323,0.001590547093655914,586,520,519,0.9980769230769231,0.0019230769230769232,0.9981898837099412
49,520,610,0.03924461081624031,3.6126177310943604,92.05385544553234,3.4916458129882812,0.0,0.0,0.0,0.0,28,2.0,3.5780060291290283,0.0012123801279813051,610,502,476,0.9461538461538461,0.0038461538461538464,0.9526201795217344
50,520,601,0.03862859308719635,3.547281503677368,91.83046081098753,3.4304463863372803,0.0,0.0,0.0,0.0,261,0.0,3.523724317550659,0.0009989552781917155,601,374,187,0.4980769230769231,0.011538461538461539,0.6225836870686954
51,520,52,0.03885553404688835,3.4107766151428223,87.78097377395244,3.2408621311187744,0.0,0.0,0.0,0.0,520,0.0,3.4091796875,0.0010910364799201488,52,45,0,0.0,0.08269230769230769,0.21773992901782624
52,520,1,,3.4433642625808716,,3.252877712249756,,,,,520,0.0,3.44084370136261,0.0010875355219468474,1,1,0,0.0,1.0,0.0
